order_id,date,country,product_category,order_value,quantity,customer_type,payment_method,shipping_cost,delivery_days
53,2025-02-06 17:44:21.717913,US,Safety Glasses,69.82,1,New,Bank Transfer,5.87,12
54,2025-02-06 17:44:21.717913,Germany,Contact Lenses,53.82,3,New,Credit Card,5.47,7
55,2025-02-06 17:44:21.717913,Germany,Safety Glasses,85.28,1,New,Credit Card,9.12,13
56,2025-02-06 17:44:21.717913,Germany,Sunglasses,116.79,1,New,PayPal,22.48,6
57,2025-02-06 17:44:21.717913,Canada,Sunglasses,120.51,1,Returning,Credit Card,16.84,13
58,2025-02-06 17:44:21.717913,US,Contact Lenses,71.11,1,Returning,PayPal,18.2,14
59,2025-02-06 17:44:21.717913,Australia,Contact Lenses,49.95,1,Returning,PayPal,21.21,8
60,2025-02-06 17:44:21.717913,France,Safety Glasses,104.08,2,New,PayPal,12.29,3
61,2025-02-06 17:44:21.717913,Japan,Safety Glasses,123.75,2,Returning,PayPal,7.12,13
62,2025-02-06 17:44:21.717913,Japan,Safety Glasses,118.06,3,New,PayPal,5.72,11
63,2025-02-06 17:44:21.717913,Japan,Sunglasses,210.35,1,New,Credit Card,23.08,4
64,2025-02-06 17:44:21.717913,UK,Contact Lenses,57.81,1,New,Credit Card,20.5,3
65,2025-02-06 17:44:21.717913,US,Safety Glasses,81.31,2,Returning,Bank Transfer,19.83,3
66,2025-02-06 17:44:21.717913,US,Contact Lenses,66.65,1,New,Bank Transfer,17.1,10
67,2025-02-06 17:44:21.717913,US,Sunglasses,71.03,1,Returning,PayPal,7.4,10
68,2025-02-06 17:44:21.717913,US,Safety Glasses,71.21,1,Returning,Bank Transfer,10.04,8
69,2025-02-06 17:44:21.717913,US,Reading Glasses,54.61,1,New,Credit Card,23.94,14
70,2025-02-06 17:44:21.717913,US,Contact Lenses,53.02,1,New,Credit Card,11.26,9
71,2025-02-06 17:44:21.717913,Germany,Sunglasses,151.03,1,New,Credit Card,12.43,11
72,2025-02-06 17:44:21.717913,Japan,Reading Glasses,56.17,1,New,Credit Card,18.68,7
73,2025-02-06 17:44:21.717913,Germany,Reading Glasses,33.31,1,New,PayPal,6.88,8
74,2025-02-06 17:44:21.717913,Japan,Reading Glasses,36.77,1,Returning,Credit Card,18.57,7
75,2025-02-06 17:44:21.717913,France,Safety Glasses,102.12,2,New,Credit Card,5.61,9
76,2025-02-06 17:44:21.717913,France,Contact Lenses,67.5,1,New,PayPal,23.63,3
77,2025-02-06 17:44:21.717913,France,Prescription Glasses,251.09,1,New,PayPal,18.72,8
78,2025-02-06 17:44:21.717913,US,Safety Glasses,93.12,1,New,PayPal,5.73,12
79,2025-02-06 17:44:21.717913,Australia,Contact Lenses,44.41,1,Returning,Credit Card,20.86,10
80,2025-02-06 17:44:21.717913,Australia,Prescription Glasses,152.14,2,New,Credit Card,18.05,8
81,2025-02-06 17:44:21.717913,Australia,Reading Glasses,25.31,2,Returning,Credit Card,16.48,12
82,2025-02-06 17:44:21.717913,US,Safety Glasses,83.59,1,Returning,PayPal,12.9,3
83,2025-02-06 17:44:21.717913,Australia,Contact Lenses,75.83,1,New,PayPal,20.81,8
84,2025-02-06 17:44:21.717913,France,Safety Glasses,37.77,1,Returning,Credit Card,18.93,7
85,2025-02-06 17:44:21.717913,Australia,Contact Lenses,71.2,1,Returning,Bank Transfer,17.17,3
86,2025-02-06 17:44:21.717913,Canada,Safety Glasses,68.51,1,Returning,Credit Card,11.65,11
87,2025-02-06 17:44:21.717913,US,Prescription Glasses,127.02,1,Returning,PayPal,17.77,12
88,2025-02-06 17:44:21.717913,US,Reading Glasses,43.97,3,Returning,PayPal,21.76,4
89,2025-02-06 17:44:21.717913,Canada,Prescription Glasses,251.33,2,Returning,Credit Card,23.54,14
90,2025-02-06 17:44:21.717913,Australia,Contact Lenses,72.14,1,New,Credit Card,10.65,3
91,2025-02-06 17:44:21.717913,US,Reading Glasses,41.79,1,New,Credit Card,22.59,5
92,2025-02-06 17:44:21.717913,France,Prescription Glasses,246.38,1,New,PayPal,11.39,12
93,2025-02-06 17:44:21.717913,Germany,Sunglasses,61.97,1,New,Credit Card,22.24,7
94,2025-02-06 17:44:21.717913,Japan,Reading Glasses,40.93,1,Returning,PayPal,11.98,7
95,2025-02-06 17:44:21.717913,US,Reading Glasses,36.83,1,Returning,Credit Card,8.91,8
96,2025-02-06 17:44:21.717913,US,Contact Lenses,59.36,2,Returning,Credit Card,18.46,3
97,2025-02-06 17:44:21.717913,France,Sunglasses,156.86,1,Returning,Credit Card,17.73,5
98,2025-02-06 17:44:21.717913,France,Reading Glasses,21.88,1,Returning,Credit Card,15.55,9
99,2025-02-06 17:44:21.717913,France,Contact Lenses,36.75,2,New,PayPal,11.05,3
100,2025-02-06 17:44:21.717913,France,Reading Glasses,31.45,3,Returning,PayPal,12.63,14
101,2025-02-06 17:44:21.717913,Canada,Safety Glasses,80.02,1,New,PayPal,23.23,14
102,2025-02-06 17:44:21.717913,US,Safety Glasses,66.57,1,Returning,Credit Card,23.8,4
103,2025-02-06 17:44:21.717913,Canada,Reading Glasses,31.34,1,New,PayPal,15.69,8
104,2025-02-06 17:44:21.717913,Japan,Sunglasses,128.57,1,New,PayPal,6.25,6
105,2025-02-06 17:44:21.717913,Germany,Contact Lenses,45.84,1,Returning,Credit Card,6.19,14
106,2025-02-06 17:44:21.717913,US,Reading Glasses,28.39,1,Returning,Credit Card,16.14,14
107,2025-02-06 17:44:21.717913,Australia,Contact Lenses,33.66,1,Returning,Credit Card,21.73,9
108,2025-02-06 17:44:21.717913,Germany,Prescription Glasses,159.34,1,Returning,Credit Card,22.28,14
109,2025-02-06 17:44:21.717913,Japan,Reading Glasses,61.84,1,New,Credit Card,11.47,11
110,2025-02-07 17:44:21.717913,Canada,Prescription Glasses,261.6,2,New,Credit Card,19.58,7
111,2025-02-07 17:44:21.717913,US,Sunglasses,74.94,1,Returning,Credit Card,18.29,5
112,2025-02-07 17:44:21.717913,UK,Safety Glasses,48.45,2,New,Credit Card,6.41,4
113,2025-02-07 17:44:21.717913,UK,Contact Lenses,57.01,1,New,Credit Card,13.97,12
114,2025-02-07 17:44:21.717913,Canada,Reading Glasses,35.43,1,New,Credit Card,10.67,4
115,2025-02-07 17:44:21.717913,Australia,Safety Glasses,38.9,1,New,Credit Card,8.96,6
116,2025-02-07 17:44:21.717913,Canada,Safety Glasses,42.71,1,New,Credit Card,21.59,11
117,2025-02-07 17:44:21.717913,US,Contact Lenses,57.31,1,Returning,Bank Transfer,15.87,12
118,2025-02-07 17:44:21.717913,UK,Contact Lenses,50.27,1,New,PayPal,15.84,5
119,2025-02-07 17:44:21.717913,US,Sunglasses,161.06,1,New,Credit Card,20.84,7
120,2025-02-07 17:44:21.717913,US,Contact Lenses,67.48,2,New,Credit Card,11.09,10
121,2025-02-07 17:44:21.717913,Germany,Sunglasses,45.75,1,New,Credit Card,13.44,11
122,2025-02-07 17:44:21.717913,France,Safety Glasses,88.89,3,Returning,Credit Card,22.76,6
123,2025-02-07 17:44:21.717913,Germany,Prescription Glasses,76.06,1,Returning,PayPal,12.41,4
124,2025-02-07 17:44:21.717913,Japan,Sunglasses,94.69,1,New,Credit Card,18.56,4
125,2025-02-07 17:44:21.717913,Canada,Safety Glasses,84.79,2,Returning,Credit Card,17.45,3
126,2025-02-07 17:44:21.717913,Australia,Reading Glasses,51.6,1,Returning,Credit Card,21.88,8
127,2025-02-07 17:44:21.717913,UK,Sunglasses,109.83,1,Returning,Credit Card,12.38,11
128,2025-02-07 17:44:21.717913,Australia,Reading Glasses,38.85,1,New,Credit Card,9.57,3
129,2025-02-07 17:44:21.717913,US,Sunglasses,69.18,2,Returning,Credit Card,8.98,13
130,2025-02-07 17:44:21.717913,Canada,Sunglasses,118.72,1,New,PayPal,9.82,5
131,2025-02-07 17:44:21.717913,US,Safety Glasses,94.42,1,New,Credit Card,15.14,6
132,2025-02-07 17:44:21.717913,Germany,Sunglasses,73.66,1,New,Bank Transfer,16.67,5
133,2025-02-07 17:44:21.717913,US,Sunglasses,77.5,1,Returning,PayPal,7.64,13
134,2025-02-07 17:44:21.717913,France,Reading Glasses,30.08,1,New,Credit Card,10.89,13
135,2025-02-07 17:44:21.717913,Japan,Reading Glasses,32.34,1,New,Credit Card,15.27,6
136,2025-02-07 17:44:21.717913,Germany,Prescription Glasses,156.06,1,New,PayPal,18.24,13
137,2025-02-07 17:44:21.717913,Japan,Prescription Glasses,214.99,2,Returning,Credit Card,22.33,10
138,2025-02-07 17:44:21.717913,Japan,Sunglasses,173.18,1,New,PayPal,24.65,7
139,2025-02-07 17:44:21.717913,France,Sunglasses,167.2,1,New,Credit Card,16.51,14
140,2025-02-07 17:44:21.717913,Germany,Prescription Glasses,134.74,2,New,Credit Card,12.29,7
141,2025-02-07 17:44:21.717913,Canada,Reading Glasses,26.69,1,New,Bank Transfer,10.33,14
142,2025-02-07 17:44:21.717913,Canada,Sunglasses,50.68,1,Returning,Credit Card,7.06,7
143,2025-02-07 17:44:21.717913,Australia,Safety Glasses,96.05,1,New,Credit Card,9.1,7
144,2025-02-07 17:44:21.717913,UK,Prescription Glasses,219.49,1,New,Credit Card,14.52,8
145,2025-02-07 17:44:21.717913,Germany,Contact Lenses,34.62,1,New,PayPal,7.17,10
146,2025-02-07 17:44:21.717913,Japan,Prescription Glasses,246.12,2,New,PayPal,7.99,8
147,2025-02-07 17:44:21.717913,Germany,Prescription Glasses,171.54,1,Returning,PayPal,7.45,13
148,2025-02-07 17:44:21.717913,US,Sunglasses,115.65,2,New,Credit Card,12.2,9
149,2025-02-07 17:44:21.717913,UK,Safety Glasses,89.17,2,New,Credit Card,9.89,5
150,2025-02-07 17:44:21.717913,France,Prescription Glasses,74.39,1,New,PayPal,24.5,10
151,2025-02-07 17:44:21.717913,UK,Contact Lenses,46.87,2,New,Credit Card,16.88,8
152,2025-02-07 17:44:21.717913,Germany,Safety Glasses,89.1,1,New,Credit Card,21.61,5
153,2025-02-07 17:44:21.717913,US,Sunglasses,153.37,1,New,PayPal,16.75,13
154,2025-02-07 17:44:21.717913,France,Prescription Glasses,110.27,1,Returning,Credit Card,10.87,5
155,2025-02-07 17:44:21.717913,Germany,Prescription Glasses,247.92,1,Returning,PayPal,10.85,13
156,2025-02-07 17:44:21.717913,US,Prescription Glasses,144.91,2,Returning,Credit Card,11.59,11
157,2025-02-07 17:44:21.717913,France,Contact Lenses,53.46,1,New,Credit Card,12.22,4
158,2025-02-07 17:44:21.717913,UK,Contact Lenses,38.91,1,New,Credit Card,19.72,6
159,2025-02-07 17:44:21.717913,US,Sunglasses,160.75,3,Returning,Credit Card,9.46,4
160,2025-02-07 17:44:21.717913,US,Contact Lenses,62.59,2,New,PayPal,8.37,11
161,2025-02-07 17:44:21.717913,Canada,Reading Glasses,27.87,2,Returning,Credit Card,13.58,14
162,2025-02-07 17:44:21.717913,UK,Prescription Glasses,153.09,2,New,PayPal,14.14,12
163,2025-02-07 17:44:21.717913,Japan,Safety Glasses,50.86,1,Returning,Credit Card,16.17,12
164,2025-02-07 17:44:21.717913,Japan,Safety Glasses,59.66,1,Returning,Credit Card,15.62,7
165,2025-02-07 17:44:21.717913,US,Prescription Glasses,150.19,1,Returning,Credit Card,22.27,9
166,2025-02-07 17:44:21.717913,US,Prescription Glasses,162.59,1,New,Credit Card,8.02,7
167,2025-02-07 17:44:21.717913,Germany,Contact Lenses,61.51,2,Returning,PayPal,10.42,14
168,2025-02-07 17:44:21.717913,Germany,Prescription Glasses,254.16,2,Returning,Credit Card,8.95,12
169,2025-02-08 17:44:21.717913,Japan,Sunglasses,92.89,1,New,PayPal,15.4,10
170,2025-02-08 17:44:21.717913,US,Contact Lenses,76.07,2,New,PayPal,9.91,4
171,2025-02-08 17:44:21.717913,US,Safety Glasses,84.2,1,Returning,Credit Card,8.43,7
172,2025-02-08 17:44:21.717913,UK,Prescription Glasses,228.96,2,New,Credit Card,10.79,11
173,2025-02-08 17:44:21.717913,France,Prescription Glasses,141.91,2,Returning,PayPal,18.48,11
174,2025-02-08 17:44:21.717913,US,Reading Glasses,47.31,1,New,Credit Card,12.13,5
175,2025-02-08 17:44:21.717913,US,Prescription Glasses,184.42,1,New,Credit Card,13.54,9
176,2025-02-08 17:44:21.717913,Japan,Prescription Glasses,151.61,1,New,Credit Card,18.28,4
177,2025-02-08 17:44:21.717913,UK,Safety Glasses,42.46,1,Returning,Credit Card,14.29,12
178,2025-02-08 17:44:21.717913,US,Sunglasses,191.29,1,New,Credit Card,12.07,9
179,2025-02-08 17:44:21.717913,Australia,Reading Glasses,24.66,1,New,Credit Card,22.9,10
180,2025-02-08 17:44:21.717913,France,Safety Glasses,66.49,2,New,PayPal,20.03,14
181,2025-02-08 17:44:21.717913,Canada,Contact Lenses,64.3,1,New,Credit Card,12.1,13
182,2025-02-08 17:44:21.717913,Japan,Safety Glasses,69.95,2,Returning,Credit Card,12.11,12
183,2025-02-08 17:44:21.717913,Germany,Safety Glasses,90.3,1,New,Credit Card,13.69,7
184,2025-02-08 17:44:21.717913,Germany,Prescription Glasses,149.98,1,New,PayPal,11.63,12
185,2025-02-08 17:44:21.717913,US,Reading Glasses,49.7,2,New,Credit Card,23.91,8
186,2025-02-08 17:44:21.717913,Australia,Sunglasses,179.5,1,Returning,Credit Card,18.44,13
187,2025-02-08 17:44:21.717913,Australia,Safety Glasses,77.86,1,Returning,Credit Card,17.1,5
188,2025-02-08 17:44:21.717913,France,Safety Glasses,47.82,1,New,PayPal,23.33,7
189,2025-02-08 17:44:21.717913,Canada,Safety Glasses,66.69,1,Returning,Credit Card,20.24,10
190,2025-02-08 17:44:21.717913,US,Contact Lenses,51.72,1,New,Credit Card,14.56,5
191,2025-02-08 17:44:21.717913,Japan,Contact Lenses,45.36,2,Returning,PayPal,8.13,7
192,2025-02-08 17:44:21.717913,France,Reading Glasses,42.56,1,New,PayPal,18.44,14
193,2025-02-08 17:44:21.717913,Germany,Safety Glasses,92.83,1,Returning,Credit Card,5.92,14
194,2025-02-08 17:44:21.717913,US,Prescription Glasses,216.4,1,New,Credit Card,6.22,8
195,2025-02-08 17:44:21.717913,Australia,Sunglasses,118.99,1,New,Credit Card,13.01,6
196,2025-02-08 17:44:21.717913,Germany,Reading Glasses,21.78,1,New,PayPal,18.31,8
197,2025-02-08 17:44:21.717913,UK,Contact Lenses,56.13,2,Returning,PayPal,9.8,13
198,2025-02-08 17:44:21.717913,Canada,Contact Lenses,65.3,1,New,Credit Card,17.1,13
199,2025-02-08 17:44:21.717913,Japan,Safety Glasses,70.46,1,New,Credit Card,12.24,13
200,2025-02-08 17:44:21.717913,Japan,Safety Glasses,96.55,1,New,Credit Card,12.91,5
201,2025-02-08 17:44:21.717913,Germany,Prescription Glasses,104.54,1,Returning,Credit Card,14.89,7
202,2025-02-08 17:44:21.717913,Japan,Reading Glasses,33.91,1,Returning,Bank Transfer,8.72,14
203,2025-02-08 17:44:21.717913,Japan,Reading Glasses,56.62,1,New,Credit Card,18.81,3
204,2025-02-08 17:44:21.717913,Germany,Reading Glasses,37.62,2,New,Credit Card,18.21,9
205,2025-02-08 17:44:21.717913,UK,Sunglasses,177.0,2,New,PayPal,14.29,4
206,2025-02-08 17:44:21.717913,Australia,Prescription Glasses,219.02,1,Returning,Credit Card,12.15,13
207,2025-02-08 17:44:21.717913,Canada,Safety Glasses,99.82,1,New,Credit Card,17.41,13
208,2025-02-08 17:44:21.717913,UK,Contact Lenses,42.77,1,Returning,Credit Card,5.42,9
209,2025-02-08 17:44:21.717913,UK,Contact Lenses,49.15,1,Returning,Credit Card,21.89,8
210,2025-02-08 17:44:21.717913,Australia,Safety Glasses,45.48,2,Returning,Credit Card,20.64,3
211,2025-02-08 17:44:21.717913,US,Contact Lenses,40.63,1,New,Credit Card,19.45,6
212,2025-02-08 17:44:21.717913,France,Sunglasses,95.19,1,Returning,Bank Transfer,13.94,5
213,2025-02-08 17:44:21.717913,France,Reading Glasses,33.13,1,New,PayPal,15.4,10
214,2025-02-08 17:44:21.717913,Japan,Prescription Glasses,163.85,2,Returning,Bank Transfer,16.74,14
215,2025-02-08 17:44:21.717913,Japan,Sunglasses,194.42,1,Returning,Credit Card,11.54,5
216,2025-02-08 17:44:21.717913,Germany,Reading Glasses,33.7,1,New,PayPal,14.08,8
217,2025-02-08 17:44:21.717913,Canada,Sunglasses,47.49,1,New,PayPal,8.44,9
218,2025-02-08 17:44:21.717913,Canada,Reading Glasses,49.11,1,New,Credit Card,22.16,3
219,2025-02-08 17:44:21.717913,UK,Safety Glasses,105.94,2,Returning,Credit Card,8.76,7
220,2025-02-09 17:44:21.717913,Canada,Reading Glasses,21.94,1,New,Credit Card,19.66,9
221,2025-02-09 17:44:21.717913,Canada,Prescription Glasses,186.89,1,New,Credit Card,24.21,7
222,2025-02-09 17:44:21.717913,UK,Prescription Glasses,147.23,1,New,Credit Card,6.31,6
223,2025-02-09 17:44:21.717913,Canada,Reading Glasses,22.12,1,Returning,PayPal,23.38,8
224,2025-02-09 17:44:21.717913,Japan,Contact Lenses,61.25,1,New,PayPal,14.41,14
225,2025-02-09 17:44:21.717913,Australia,Safety Glasses,84.04,1,New,PayPal,12.57,7
226,2025-02-09 17:44:21.717913,Canada,Contact Lenses,67.7,1,Returning,PayPal,11.58,8
227,2025-02-09 17:44:21.717913,Japan,Sunglasses,75.24,1,Returning,Credit Card,5.75,5
228,2025-02-09 17:44:21.717913,Germany,Reading Glasses,48.71,1,Returning,PayPal,21.07,10
229,2025-02-09 17:44:21.717913,US,Sunglasses,166.54,1,Returning,PayPal,20.29,4
230,2025-02-09 17:44:21.717913,Germany,Prescription Glasses,232.22,1,New,Credit Card,9.93,10
231,2025-02-09 17:44:21.717913,France,Contact Lenses,53.04,1,New,Credit Card,14.05,12
232,2025-02-09 17:44:21.717913,Germany,Reading Glasses,18.96,2,New,Credit Card,7.36,8
233,2025-02-09 17:44:21.717913,Australia,Prescription Glasses,194.52,2,Returning,Credit Card,18.56,11
234,2025-02-09 17:44:21.717913,US,Contact Lenses,72.56,1,Returning,Credit Card,24.4,12
235,2025-02-09 17:44:21.717913,UK,Safety Glasses,73.05,1,New,Credit Card,19.8,14
236,2025-02-09 17:44:21.717913,Australia,Reading Glasses,23.53,1,New,PayPal,6.57,6
237,2025-02-09 17:44:21.717913,UK,Contact Lenses,58.28,1,New,Credit Card,10.49,7
238,2025-02-09 17:44:21.717913,Japan,Safety Glasses,115.87,1,New,Credit Card,20.39,5
239,2025-02-09 17:44:21.717913,Germany,Sunglasses,157.12,1,New,PayPal,21.39,8
240,2025-02-09 17:44:21.717913,US,Contact Lenses,49.18,1,New,Credit Card,10.72,10
241,2025-02-09 17:44:21.717913,Japan,Contact Lenses,84.3,1,Returning,Credit Card,18.15,9
242,2025-02-09 17:44:21.717913,Canada,Safety Glasses,80.39,1,Returning,Credit Card,9.79,5
243,2025-02-09 17:44:21.717913,France,Contact Lenses,26.69,1,Returning,Credit Card,9.51,6
244,2025-02-09 17:44:21.717913,US,Reading Glasses,52.61,1,New,PayPal,18.09,5
245,2025-02-09 17:44:21.717913,UK,Reading Glasses,53.27,3,New,PayPal,12.45,12
246,2025-02-09 17:44:21.717913,Japan,Prescription Glasses,135.19,1,Returning,PayPal,20.8,11
247,2025-02-09 17:44:21.717913,France,Reading Glasses,49.65,1,New,Credit Card,9.47,11
248,2025-02-09 17:44:21.717913,Japan,Safety Glasses,96.0,2,Returning,Credit Card,17.64,14
249,2025-02-09 17:44:21.717913,Germany,Reading Glasses,23.59,1,Returning,Credit Card,13.84,14
250,2025-02-09 17:44:21.717913,Australia,Contact Lenses,41.12,1,New,Bank Transfer,17.93,3
251,2025-02-09 17:44:21.717913,Germany,Reading Glasses,43.85,2,New,Credit Card,18.22,11
252,2025-02-09 17:44:21.717913,Canada,Reading Glasses,44.11,1,New,PayPal,24.72,6
253,2025-02-09 17:44:21.717913,France,Safety Glasses,60.56,1,Returning,PayPal,15.72,5
254,2025-02-09 17:44:21.717913,Australia,Sunglasses,74.88,1,Returning,PayPal,23.01,9
255,2025-02-09 17:44:21.717913,UK,Sunglasses,140.49,1,New,Credit Card,6.87,6
256,2025-02-09 17:44:21.717913,US,Sunglasses,180.53,1,New,PayPal,19.3,4
257,2025-02-09 17:44:21.717913,US,Prescription Glasses,237.54,1,New,Credit Card,15.79,4
258,2025-02-09 17:44:21.717913,UK,Sunglasses,100.55,1,Returning,Credit Card,11.41,9
259,2025-02-09 17:44:21.717913,US,Sunglasses,56.54,1,New,Credit Card,14.26,5
260,2025-02-09 17:44:21.717913,Germany,Prescription Glasses,200.4,1,New,PayPal,12.55,11
261,2025-02-09 17:44:21.717913,France,Prescription Glasses,223.58,1,Returning,Credit Card,11.04,8
262,2025-02-09 17:44:21.717913,Japan,Reading Glasses,28.17,1,New,Credit Card,15.49,6
263,2025-02-09 17:44:21.717913,Germany,Reading Glasses,21.58,2,Returning,Credit Card,23.98,5
264,2025-02-09 17:44:21.717913,Australia,Prescription Glasses,254.99,1,New,PayPal,8.77,6
265,2025-02-09 17:44:21.717913,UK,Prescription Glasses,233.42,1,Returning,Credit Card,9.96,6
266,2025-02-09 17:44:21.717913,Germany,Contact Lenses,50.78,1,New,Credit Card,11.71,4
267,2025-02-09 17:44:21.717913,Canada,Sunglasses,58.38,1,New,PayPal,15.94,4
268,2025-02-09 17:44:21.717913,France,Reading Glasses,32.71,1,Returning,PayPal,22.73,9
269,2025-02-09 17:44:21.717913,UK,Reading Glasses,25.6,1,Returning,PayPal,23.0,9
270,2025-02-09 17:44:21.717913,Australia,Safety Glasses,57.79,2,Returning,Credit Card,14.36,10
271,2025-02-09 17:44:21.717913,France,Sunglasses,156.75,2,New,Credit Card,24.82,14
272,2025-02-10 17:44:21.717913,US,Sunglasses,197.94,1,New,PayPal,5.29,5
273,2025-02-10 17:44:21.717913,Canada,Prescription Glasses,210.65,2,Returning,PayPal,7.68,10
274,2025-02-10 17:44:21.717913,US,Prescription Glasses,120.99,2,New,Credit Card,22.42,11
275,2025-02-10 17:44:21.717913,US,Sunglasses,185.0,1,Returning,PayPal,10.93,11
276,2025-02-10 17:44:21.717913,Australia,Contact Lenses,46.51,1,Returning,Credit Card,13.42,7
277,2025-02-10 17:44:21.717913,Germany,Reading Glasses,18.38,2,New,Bank Transfer,24.78,9
278,2025-02-10 17:44:21.717913,France,Contact Lenses,32.77,1,New,PayPal,14.07,8
